Results from ivolResults.py
===========================
Output database:                        odb      = open-frame-fatigue-v25mm-9pct.odb
Crimping (prestrain) output database:   oldOdb   = open-frame-fatigue-v25mm-9pct.odb
Number of integration points:           nRows    = 9928
Total volume:                           vTotal   = 11.021
Maximum mean strain:                    cycEMmax = 0.0403436
Maximum strain amplitude (abs):         cycEAmax = 0.00782284
-----------------------------------------------------------------------------------------------
el     = element number
ip     = integration point
cycEM  = maximum principal cyclic mean strain
cycEA  = absolute maximum principal cyclic strain amplitude
cycTau = cyclic maximum shear strain
cycSM  = maximum principal cyclic mean stress
cycSA  = absolute maximum principal cyclic stress amplitude
preE   = pre-strain (strain conditioning, e.g. strain during crimping)
preS   = pre-stress (stress conditioning, e.g. stress during crimping)
preP   = hydrostatic pressure during pre-conditioning (compression positive, tension negative)
preM   = volume fraction martensite during pre-conditioning
preV   = integration point volume during pre-conditioning
ldE    = maximum principal strain during loading frame of fatigue cycle
ldTau  = maximum shear strain during loading frame of fatigue cycle
ldS    = maximum principal stress during loading frame of fatigue cycle
ldP    = hydrostatic pressure during loading frame of fatigue cycle
ldM    = volume fraction martensite during loading frame of fatigue cycle
ldV    = integration point volume during loading frame of fatigue cycle
ulE    = maximum principal strain during unloading frame of fatigue cycle
ulTau  = maximum shear strain during unloading frame of fatigue cycle
ulS    = maximum principal stress during unloading frame of fatigue cycle
ulP    = hydrostatic pressure during unloading frame of fatigue cycle
ulM    = volume fraction martensite during unloading frame of fatigue cycle
ulV    = integration point volume during unloading frame of fatigue cycle
ldS11  = loading stress in material 1 direction (r)
ldS22  = loading stress in material 2 direction (theta)
ldS33  = loading stress in material 3 direction (Z)
ulS11  = unloading stress in material 1 direction (r)
ulS22  = unloading stress in material 2 direction (theta)
ulS33  = unloading stress in material 3 direction (Z)
ldE11  = loading strain in material 1 direction (r)
ldE22  = loading strain in material 2 direction (theta)
ldE33  = loading strain in material 3 direction (Z)
ulE11  = unloading strain in material 1 direction (r)
ulE22  = unloading strain in material 2 direction (theta)
ulE33  = unloading strain in material 3 direction (Z)
-----------------------------------------------------------------------------------------------
el, ip, cycEM, cycEA, cycTau, cycSM, cycSA, preE, preS, preP, preM, preV, ldE, ldTau, ldS, ldP, ldM, ldV, ulE,ulTau, ulS, ulP, ulM, ulV,ldS11, ldS22, ldS33, ulS11, ulS22, ulS33,ldE11, ldE22, ldE33, ulE11, ulE22, ulE33
2451, 1,0.000578989, -0.00044101, 0.000307921, 7.16615, -27.1435, 0.000956699, 9.23591, 48.0238, 0, 0.00101282, 0.000750309, 0.00130881, 9.07915, 34.7074, 0, 0.00101304, 0.000410756, 0.00070297, 5.45555, 18.0154, 0, 0.00101331, 0.268722, -32.378, -72.0129, 0.37744, -20.8744, -33.5492, 0.000549919, -0.000107137, -0.001006, 0.000289305, 0.000289305, 0.000289305
2452, 1,0.000662195, -0.000491919, 0.000347575, 10.03, -30.0043, 0.00123785, 23.6264, 45.4364, 0, 0.000978808, 0.000858001, 0.0014216, 12.562, 35.1252, 0, 0.000978972, 0.000473245, 0.000748158, 7.87744, 17.0703, 0, 0.000979259, -0.0682567, -37.6483, -67.659, 0.0180208, -23.9981, -27.2308, 0.000550547, -0.000216355, -0.000904246, 0.000268106, 0.000268106, 0.000268106
2453, 1,0.000704344, -0.000457076, 0.000326983, 11.202, -27.8999, 0.00167429, 41.0609, 53.1083, 0, 0.00108109, 0.000900898, 0.00152299, 14.617, 38.5957, 0, 0.00108134, 0.000508049, 0.000870032, 7.85778, 22.3441, 0, 0.00108163, 0.264567, -39.6228, -76.4287, 0.318333, -26.1002, -41.2505, 0.000611773, -0.000155762, -0.0010822, 0.000356685, 0.000356685, 0.000356685
2454, 1,0.000627404, -0.000454208, 0.000316603, 7.70608, -28.0358, 0.00112023, 15.8618, 50.3766, 0, 0.00104702, 0.000804937, 0.00142689, 9.77305, 38.2213, 0, 0.00104723, 0.000451013, 0.000797848, 5.75853, 21.0099, 0, 0.00104752, 0.923359, -33.2769, -82.3102, 0.964725, -21.8032, -42.1912, 0.000618779, -5.32272E-05, -0.00118573, 0.000348435, 0.000348435, 0.000348435
2455, 1,0.000629185, -0.000480785, 0.000333805, 7.48053, -29.6613, 0.00111181, 16.4495, 48.2124, 0, 0.00101298, 0.000812301, 0.00143282, 9.31115, 38.2848, 0, 0.00101314, 0.000449227, 0.000775344, 5.85622, 19.8798, 0, 0.00101345, 0.950797, -32.5934, -83.2119, 0.983313, -21.0034, -39.6193, 0.000620608, -5.4262E-05, -0.00118761, 0.000331404, 0.000331404, 0.000331404
2456, 1,0.000712356, -0.000533867, 0.000375021, 10.048, -32.659, 0.00158293, 38.5698, 47.2629, 0, 0.00097897, 0.000921322, 0.00154512, 12.533, 38.8556, 0, 0.000979104, 0.000509977, 0.000816086, 7.93115, 19.0008, 0, 0.000979419, 0.0248384, -38.1422, -78.4496, 0.0674712, -24.3404, -32.7295, 0.000611225, -0.00016289, -0.00107892, 0.000299513, 0.000299513, 0.000299513
2457, 1,0.000756007, -0.000495068, 0.000351419, 10.8421, -30.3201, 0.00209388, 61.3979, 52.4026, 0, 0.0010812, 0.000963137, 0.00165158, 14.1277, 42.937, 0, 0.00108137, 0.000549348, 0.000950478, 7.6571, 25.0328, 0, 0.00108168, 0.0452454, -41.1916, -87.6646, 0.0410617, -27.7538, -47.3857, 0.000675379, -0.000113836, -0.00125819, 0.00039302, 0.00039302, 0.00039302
2458, 1,0.000657005, -0.000492018, 0.000340504, 6.3227, -30.4355, 0.00124594, 19.7652, 52.9927, 0, 0.00104705, 0.000843987, 0.00154226, 8.22444, 42.9824, 0, 0.00104722, 0.00047161, 0.000865751, 4.5601, 24.1291, 0, 0.00104754, 0.953004, -33.9408, -95.9595, 0.84058, -22.466, -50.762, 0.000694339, 6.99651E-06, -0.00139877, 0.000394875, 0.000394875, 0.000394875
2459, 1,0.000670059, -0.000520437, 0.000359382, 6.73232, -32.1677, 0.00123539, 20.2604, 50.9803, 0, 0.00101303, 0.000865194, 0.00155239, 8.50512, 42.8845, 0, 0.00101317, 0.000477456, 0.000841565, 5.13037, 22.7877, 0, 0.0010135, 0.76673, -32.7801, -96.6401, 0.635463, -21.1158, -47.8829, 0.000689155, 1.38911E-05, -0.00139895, 0.000369844, 0.000369844, 0.000369844
2460, 1,0.000767263, -0.000577728, 0.000404189, 10.2393, -35.4136, 0.00205828, 61.8318, 46.174, 0, 0.000979137, 0.000990958, 0.00167774, 12.7396, 42.7509, 0, 0.000979192, 0.000549835, 0.000889482, 8.10203, 21.0858, 0, 0.000979536, 0.28746, -38.7559, -89.7842, 0.242358, -24.8387, -38.661, 0.000678165, -0.000107595, -0.00126437, 0.000336089, 0.000336089, 0.000336089
2461, 1,0.000843027, -0.000537396, 0.000380233, 13.8219, -32.9474, 0.00232714, 62.1416, 66.2464, 0, 0.00108116, 0.00106349, 0.00179198, 17.0502, 45.2765, 0, 0.00108153, 0.000624445, 0.00103833, 10.8111, 25.7017, 0, 0.00108188, 0.412693, -42.9562, -93.2859, 0.377744, -29.5668, -47.916, 0.000720076, -0.000107206, -0.00134748, 0.000410744, 0.000410744, 0.000410744
2462, 1,0.000688797, -0.000535229, 0.000369077, 6.05862, -33.1043, 0.00122186, 5.74052, 70.2059, 0, 0.00104682, 0.000887256, 0.00164423, 7.85783, 46.5542, 0, 0.00104722, 0.000493304, 0.000916448, 4.45403, 26.0063, 0, 0.00104757, 1.006, -36.0336, -104.635, 0.678401, -24.6296, -54.0678, 0.000751832, 1.62836E-05, -0.0015235, 0.000421119, 0.000421119, 0.000421119
2463, 1,0.000707229, -0.000565601, 0.000389704, 7.43657, -34.9491, 0.00105784, 1.29721, 65.3135, 0, 0.00101287, 0.000916963, 0.00165556, 9.24295, 45.4906, 0, 0.00101319, 0.00050062, 0.000886914, 5.82686, 23.6475, 0, 0.00101355, 2.02469, -33.5914, -104.905, 1.67382, -21.9729, -50.6435, 0.000756702, 3.47859E-05, -0.00152967, 0.00040523, 0.00040523, 0.00040523
2464, 1,0.000851964, -0.000625744, 0.000437182, 11.1876, -38.3714, 0.00232669, 68.7853, 53.8072, 0, 0.000979155, 0.0010926, 0.00184603, 13.7979, 47.6895, 0, 0.000979252, 0.000618243, 0.00099446, 8.97516, 24.187, 0, 0.000979626, -0.495097, -40.637, -101.937, -0.685987, -26.7814, -45.0938, 0.000739426, -6.45738E-05, -0.00144878, 0.00036532, 0.00036532, 0.00036532
2465, 1,0.000910154, -0.000576401, 0.000407165, 13.8959, -35.3952, 0.00290691, 77.9075, 81.7082, 0, 0.00108152, 0.0011428, 0.00191522, 17.0379, 50.2297, 0, 0.00108208, 0.000681345, 0.00111502, 11.1247, 29.0738, 0, 0.00108245, -2.33553, -49.1008, -99.2527, -2.35118, -35.0717, -49.7986, 0.000740784, -0.000145468, -0.00141029, 0.000406947, 0.000406947, 0.000406947
2466, 1,0.000724141, -0.000573925, 0.000392296, 3.72803, -35.6013, 0.00127761, 3.85852, 76.2426, 0, 0.00104723, 0.000931914, 0.00175578, 5.30119, 52.5671, 0, 0.00104763, 0.00051778, 0.00098105, 2.28301, 30.2212, 0, 0.00104801, -1.89058, -38.3959, -117.415, -2.41242, -26.7027, -61.5486, 0.000785741, 6.43355E-05, -0.00170304, 0.000422592, 0.000422592, 0.000422592
2467, 1,0.000729109, -0.000609414, 0.000417786, 4.38635, -37.7255, 0.00126902, 6.10172, 72.1667, 0, 0.00101314, 0.000951364, 0.00178003, 6.06727, 51.8316, 0, 0.00101348, 0.000509904, 0.00095642, 2.89239, 28.0792, 0, 0.00101387, 0.961158, -37.4016, -119.054, 0.432608, -25.6798, -58.9903, 0.000833986, 5.513E-05, -0.00173019, 0.000448652, 0.000448652, 0.000448652
2468, 1,0.000941292, -0.000682504, 0.000478117, 9.69518, -41.8034, 0.00266413, 72.6811, 69.6634, 0, 0.000979257, 0.00119954, 0.00203925, 12.3728, 56.061, 0, 0.000979474, 0.000696047, 0.00112696, 7.73305, 30.541, 0, 0.000979879, -5.05014, -50.3842, -112.749, -5.36511, -36.4211, -49.8369, 0.000774948, -0.000133424, -0.00155129, 0.000366416, 0.000366416, 0.000366416
2469, 1,0.00106868, -0.000615446, 0.000438702, 19.3978, -37.6283, 0.0028017, 65.4038, 91.206, 0, 0.00108207, 0.00132286, 0.00213638, 23.1532, 54.3413, 0, 0.00108272, 0.00081974, 0.00127995, 16.0771, 32.147, 0, 0.00108311, -4.52719, -54.3537, -104.143, -4.60526, -39.7202, -52.1154, 0.000759917, -0.000191838, -0.00144978, 0.000408432, 0.000408432, 0.000408432
2470, 1,0.000764138, -0.000606033, 0.000412263, 5.47516, -37.7269, 0.00161067, 19.9332, 75.4683, 0, 0.00104792, 0.000980693, 0.00182762, 6.85964, 53.7018, 0, 0.00104829, 0.000549759, 0.00101371, 4.27622, 29.7169, 0, 0.0010487, -1.76163, -36.1251, -123.219, -2.33379, -23.6677, -63.1491, 0.000806818, 0.000129415, -0.00180762, 0.000416806, 0.000416806, 0.000416806
2471, 1,0.000744576, -0.000648136, 0.000441639, 5.55958, -40.2524, 0.00153208, 20.0633, 70.0006, 0, 0.00101389, 0.00097618, 0.00183892, 6.97221, 52.3333, 0, 0.00101418, 0.000515745, 0.000967732, 4.30849, 26.6945, 0, 0.0010146, 3.71884, -36.242, -124.477, 3.04446, -23.7965, -59.3314, 0.00090038, 8.59343E-05, -0.00183554, 0.000482233, 0.000482233, 0.000482233
2472, 1,0.0010702, -0.000738549, 0.000518661, 15.4756, -45.203, 0.00255635, 62.776, 75.8744, 0, 0.000979889, 0.00134666, 0.00222061, 18.2491, 57.7623, 0, 0.000980177, 0.000812069, 0.00124612, 13.6839, 30.2176, 0, 0.000980615, -3.86533, -53.3648, -116.057, -4.33706, -38.5923, -47.7234, 0.000826869, -0.000170503, -0.00159374, 0.000383109, 0.000383109, 0.000383109
2473, 1,0.0011851, -0.000656181, 0.000477214, 28.6482, -39.691, 0.00223266, 26.2317, 107.147, 0, 0.0010826, 0.00147638, 0.0022545, 33.9922, 50.6456, 0, 0.00108359, 0.000898861, 0.00131956, 23.7192, 28.0214, 0, 0.00108399, -1.5887, -49.4592, -100.889, -1.56915, -34.6085, -47.8866, 0.000763962, -0.000157594, -0.00142811, 0.000407806, 0.000407806, 0.000407806
2474, 1,0.000786854, -0.000627593, 0.00042903, 9.85819, -39.1438, 0.0016411, 9.38215, 91.6741, 0, 0.00104822, 0.00101169, 0.00185669, 11.2577, 50.0175, 0, 0.00104893, 0.000566924, 0.0010101, 8.73616, 24.9376, 0, 0.00104936, 3.70939, -27.1341, -126.628, 3.45052, -14.275, -63.9883, 0.000864718, 0.000255876, -0.0019322, 0.00046411, 0.00046411, 0.00046411
2475, 1,0.000879494, -0.000679365, 0.000462825, 12.4003, -42.2446, 0.00145346, 5.6871, 84.4731, 0, 0.00101427, 0.00112351, 0.00198132, 13.8863, 52.712, 0, 0.00101479, 0.000637138, 0.00106264, 11.0171, 25.6733, 0, 0.00101524, 5.70758, -30.7271, -133.116, 4.93773, -17.9974, -63.9602, 0.000948229, 0.000203772, -0.00200738, 0.000506027, 0.000506027, 0.000506027
2476, 1,0.00131585, -0.000799997, 0.000565672, 29.5755, -48.7574, 0.00204157, 33.7609, 82.3089, 0, 0.000980714, 0.00162311, 0.00249896, 33.1601, 56.1807, 0, 0.000981129, 0.00102737, 0.00143472, 26.9671, 26.8842, 0, 0.000981596, -0.0332507, -49.7597, -118.749, -0.853502, -34.2393, -45.5596, 0.000882472, -0.000128037, -0.00166615, 0.000403743, 0.000403743, 0.000403743
2477, 1,0.00148198, -0.000705301, 0.000527928, 45.3139, -41.8544, 0.00231991, 0.519677, 146.703, 0, 0.00108231, 0.00182503, 0.00258539, 53.2611, 47.4227, 0, 0.00108406, 0.00114413, 0.00155014, 37.7699, 25.1979, 0, 0.00108445, 2.29744, -38.0156, -106.55, 2.11909, -26.71, -51.0029, 0.000795339, 3.16288E-05, -0.00159641, 0.000441287, 0.000441287, 0.000441287
2478, 1,0.00094858, -0.000648569, 0.000449886, 14.0473, -40.1683, 0.00201, 2.65298, 124.251, 0, 0.00104791, 0.0011943, 0.00210426, 16.4643, 54.4932, 0, 0.0010491, 0.000706182, 0.00121245, 11.7867, 29.3326, 0, 0.00104952, 3.4673, -18.5314, -148.415, 3.59936, -8.75872, -82.8385, 0.000930101, 0.000509945, -0.00232426, 0.000536492, 0.000536492, 0.000536492
2479, 1,0.00110082, -0.000712643, 0.000491755, 21.7348, -44.1252, 0.00171079, -2.86988, 112.553, 0, 0.00101411, 0.00137021, 0.0022705, 24.143, 54.7081, 0, 0.00101506, 0.000832068, 0.00128933, 19.3716, 26.8675, 0, 0.00101552, 8.68919, -18.6079, -154.206, 8.12362, -8.05588, -80.6703, 0.00104235, 0.000494266, -0.00242434, 0.000591852, 0.000591852, 0.000591852
2480, 1,0.00162472, -0.000881523, 0.000632351, 44.1736, -53.3331, 0.00188984, 8.2102, 107.403, 0, 0.000980813, 0.00198488, 0.00289328, 49.5345, 57.8509, 0, 0.000981602, 0.00128143, 0.00169128, 39.6916, 26.6417, 0, 0.000982099, 3.14801, -45.19, -131.511, 2.12342, -30.184, -51.8646, 0.000974905, -5.27622E-06, -0.00190842, 0.000461728, 0.000461728, 0.000461728
2481, 1,0.00194625, -0.000780923, 0.000599551, 51.2188, -45.43, 0.00305634, 3.92314, 188.574, 0, 0.00108208, 0.00235799, 0.00335372, 62.481, 68.5297, 0, 0.00108419, 0.00153809, 0.00216997, 40.2369, 46.3322, 0, 0.00108458, -7.97577, -32.7252, -164.888, -8.74681, -29.9857, -100.264, 0.000910325, 0.000484291, -0.00250655, 0.000544155, 0.000544155, 0.000544155
2482, 1,0.00118213, -0.000689511, 0.000491198, 14.9957, -42.1242, 0.00279942, 18.3278, 153.223, 0, 0.00104758, 0.00147331, 0.0025147, 19.6, 67.4966, 0, 0.00104904, 0.000892047, 0.00153669, 10.4081, 42.3038, 0, 0.00104947, -3.49791, -10.7707, -188.221, -2.94854, -6.86792, -117.095, 0.000987689, 0.000885401, -0.0029683, 0.000602391, 0.000602391, 0.000602391
2483, 1,0.00120154, -0.000766716, 0.000539996, 14.2214, -46.9978, 0.00255359, 14.9467, 142.143, 0, 0.00101381, 0.00151305, 0.00263908, 18.3856, 71.4483, 0, 0.00101497, 0.000891381, 0.00156214, 10.1099, 42.7934, 0, 0.00101545, -1.6405, -15.0093, -197.695, -1.62976, -9.43656, -117.314, 0.00108785, 0.00083918, -0.00308637, 0.000636681, 0.000636681, 0.000636681
2484, 1,0.00191371, -0.000976518, 0.000715176, 48.7302, -58.2074, 0.00243469, 6.7675, 145.251, 0, 0.000980718, 0.00235704, 0.0034955, 57.6885, 71.0065, 0, 0.0009819, 0.00147756, 0.00209349, 40.1635, 38.7983, 0, 0.000982413, 3.23065, -30.9707, -185.28, 1.56079, -22.3876, -95.568, 0.00118296, 0.000503695, -0.00283886, 0.000640349, 0.000640349, 0.000640349
2485, 1,0.00219818, -0.00091795, 0.000696287, 41.7769, -53.935, 0.00511025, 15.3832, 222.126, 0.049565, 0.00108298, 0.00267072, 0.00420184, 53.9378, 99.6564, 0, 0.00108525, 0.00172667, 0.00281451, 29.7275, 71.9823, 0, 0.00108574, -5.86345, -27.8746, -265.231, -5.94114, -31.0526, -178.953, 0.00144514, 0.00106968, -0.00413185, 0.00100742, 0.00100742, 0.00100742
2486, 1,0.00155933, -0.000798734, 0.00057893, 19.4999, -48.725, 0.0040714, 54.0702, 184.177, 0.00101601, 0.00104948, 0.00191812, 0.00312877, 25.8105, 87.5773, 0, 0.00105113, 0.00120073, 0.00197149, 13.1961, 58.5208, 0, 0.00105163, -17.8847, -6.83369, -238.013, -15.5319, -7.83435, -152.196, 0.000999981, 0.00128678, -0.00370782, 0.000591995, 0.000591995, 0.000591995
2487, 1,0.00157716, -0.000864176, 0.000617669, 21.6452, -52.9294, 0.00364086, 47.1638, 167.816, 0, 0.00101562, 0.00194313, 0.00320333, 27.0826, 87.0368, 0, 0.00101695, 0.0012138, 0.00197576, 16.3176, 54.8347, 0, 0.00101748, -12.5205, -2.48829, -246.102, -10.332, -2.28109, -151.891, 0.00110391, 0.00135126, -0.00386749, 0.000642913, 0.000642913, 0.000642913
2488, 1,0.00190382, -0.00110329, 0.000807017, 26.0748, -65.9184, 0.00325934, 22.8435, 176.203, 0, 0.000981422, 0.00241336, 0.00398214, 36.4903, 103.415, 0, 0.000982582, 0.00139522, 0.00237227, 15.724, 66.5837, 0, 0.00098317, -8.53324, -25.9507, -275.762, -8.97259, -24.0225, -166.756, 0.00144443, 0.00111545, -0.004238, 0.000854985, 0.000854985, 0.000854985
2489, 1,0.00238157, -0.00109109, 0.000787263, 32.03, -66.6408, 0.00749614, -11.8408, 262.536, 0.137119, 0.00108325, 0.00285532, 0.00476346, 39.6648, 129.361, 0, 0.00108598, 0.00191276, 0.00320299, 24.6581, 89.3965, 0, 0.00108669, -5.43273, -28.983, -353.666, -3.5244, -27.4736, -237.191, 0.00192355, 0.00150249, -0.00552511, 0.00133432, 0.00133432, 0.00133432
2490, 1,0.00175282, -0.000962963, 0.000690419, 20.3015, -59.9002, 0.00588443, -17.0821, 266.575, 0.0783585, 0.00105007, 0.00216472, 0.00361584, 25.6043, 103.723, 0, 0.00105305, 0.00134449, 0.00224343, 15.1935, 65.4285, 0, 0.00105371, -13.3586, -15.3087, -282.502, -7.81673, -13.681, -174.788, 0.00135091, 0.00136039, -0.00439435, 0.000864892, 0.000864892, 0.000864892
2491, 1,0.00166121, -0.00102994, 0.000736064, 10.934, -63.8108, 0.00461388, -6.70863, 248.757, 0.0324377, 0.00101634, 0.0021031, 0.00351573, 16.8396, 111.147, 0, 0.00101869, 0.00121951, 0.00204515, 5.05457, 70.7195, 0, 0.00101936, -35.0581, -17.0513, -281.333, -29.3451, -16.4976, -166.316, 0.00100713, 0.00142333, -0.00423402, 0.000491131, 0.000491131, 0.000491131
2492, 1,0.0022289, -0.00130173, 0.000927518, 26.041, -79.5731, 0.00464494, 5.14373, 220.889, 0.040072, 0.000982214, 0.0027729, 0.00466906, 33.7868, 130.591, 0, 0.000983735, 0.00168956, 0.00282882, 18.5435, 82.2627, 0, 0.000984506, -18.0094, -22.5608, -351.204, -15.0326, -21.1088, -210.647, 0.00167235, 0.00161047, -0.00540192, 0.000974042, 0.000974042, 0.000974042
2493, 1,0.00255155, -0.00121016, 0.000850478, 34.8898, -76.7877, 0.00797055, -15.7273, 293.112, 0.129386, 0.0010797, 0.0030409, 0.00500758, 38.5617, 141.017, 0, 0.00108277, 0.00206277, 0.00330854, 31.244, 88.638, 0, 0.00108369, 3.21827, -18.9772, -407.291, 4.40326, -8.32785, -261.989, 0.00229029, 0.00187688, -0.00645544, 0.00149019, 0.00149019, 0.00149019
2494, 1,0.00232191, -0.00116762, 0.0008197, 46.2934, -74.1673, 0.00692968, -36.9408, 302.74, 0.108869, 0.00104677, 0.0027916, 0.00443843, 49.6037, 110.488, 0, 0.00105038, 0.00185333, 0.00280423, 43.0588, 59.6976, 0, 0.00105124, 4.50934, -13.003, -322.97, 11.5721, -2.28088, -188.384, 0.0018356, 0.0015179, -0.00514636, 0.00118491, 0.00118491, 0.00118491
2495, 1,0.00222716, -0.00124902, 0.000867351, 41.511, -79.2568, 0.00564192, -53.4099, 321.242, 0.0637109, 0.0010127, 0.00270654, 0.0042848, 43.9795, 112.65, 3.52225E-08, 0.00101633, 0.00175179, 0.00256777, 39.2881, 58.4603, 3.52225E-08, 0.00101722, -20.4362, -6.76082, -310.754, -11.4427, 2.51761, -166.456, 0.00134131, 0.00166978, -0.00483904, 0.000677932, 0.000677932, 0.000677932
2496, 1,0.00246286, -0.00145167, 0.00100528, 29.1318, -91.693, 0.00584856, -37.3033, 274.632, 0.0809118, 0.000978016, 0.00302141, 0.0050567, 32.5324, 147.996, 0, 0.000980234, 0.00190445, 0.00304688, 25.736, 86.0852, 0, 0.00098122, -15.3973, -9.04462, -419.546, -10.6344, -0.76174, -246.859, 0.00200721, 0.00215978, -0.00656848, 0.0011327, 0.0011327, 0.0011327
2497, 1,0.0024308, -0.00138756, 0.000953339, 20.9188, -88.8922, 0.00717393, -11.113, 294.918, 0.0948689, 0.00107476, 0.00294818, 0.00509804, 22.2221, 157.02, 0, 0.00107745, 0.00191419, 0.00319448, 19.6369, 94.5946, 0, 0.00107855, -17.8498, -18.5083, -434.701, -10.8799, -5.93688, -266.967, 0.00209578, 0.00212002, -0.00676376, 0.00126007, 0.00126007, 0.00126007
2498, 1,0.0021317, -0.00120556, 0.000833268, 35.1335, -77.0733, 0.00616144, -24.0019, 299.782, 0.0690883, 0.0010423, 0.00259071, 0.00418153, 36.8061, 115.062, 0, 0.00104563, 0.00167395, 0.0025222, 33.5567, 61.2487, 0, 0.00104655, -17.4421, -15.5356, -312.208, -7.75949, -3.7266, -172.26, 0.00144385, 0.00152507, -0.00483604, 0.000801149, 0.000801149, 0.000801149
2499, 1,0.00185797, -0.00113398, 0.000788437, 23.3989, -72.5573, 0.00506987, -19.4663, 292.265, 0.0312686, 0.00100873, 0.00229888, 0.00382081, 25.3332, 111.736, 0, 0.00101177, 0.00141845, 0.00224984, 21.5604, 60.932, 0, 0.00101261, -14.7067, -27.6542, -292.847, -6.63683, -14.5382, -161.621, 0.00144984, 0.00121075, -0.00447374, 0.000820436, 0.000820436, 0.000820436
2500, 1,0.00209839, -0.00119061, 0.000829459, 19.3811, -75.8443, 0.00452186, 0.246498, 278.271, 0.00456306, 0.00097379, 0.00256582, 0.00431576, 21.9694, 133.121, 0, 0.000976098, 0.00163134, 0.00265849, 16.814, 80.6487, 0, 0.000976929, -12.9835, -26.4485, -359.932, -9.3869, -15.7709, -216.788, 0.001824, 0.0015634, -0.00554759, 0.00107372, 0.00107372, 0.00107372
2501, 1,0.0023158, -0.00128232, 0.000911268, 29.1474, -78.9177, 0.00700338, -17.3848, 271.283, 0.116824, 0.00108338, 0.00285519, 0.00485594, 36.5919, 132.977, 0, 0.00108615, 0.00177689, 0.00303549, 21.7561, 84.1958, 0, 0.00108701, -15.2563, -16.8436, -366.831, -10.6699, -14.7396, -227.178, 0.00177232, 0.00179665, -0.00572675, 0.00110108, 0.00110108, 0.00110108
2502, 1,0.00183292, -0.00101927, 0.000727122, 28.2337, -63.3781, 0.00529694, -9.75693, 253.928, 0.0580445, 0.00105027, 0.00226172, 0.00362382, 33.548, 98.7275, 0, 0.00105306, 0.00140682, 0.00217885, 23.0363, 58.1802, 0, 0.00105375, -18.5121, 3.26728, -280.938, -12.1858, 4.36156, -166.716, 0.00116401, 0.00166439, -0.00443045, 0.000659237, 0.000659237, 0.000659237
2503, 1,0.00172441, -0.000970908, 0.000699085, 28.0698, -60.1866, 0.00437278, 7.33597, 232.546, 0.0213905, 0.00101668, 0.00215056, 0.00339704, 34.1002, 90.8737, -5.42101E-20, 0.00101906, 0.00129891, 0.00200087, 22.0611, 52.6946, -5.42101E-20, 0.0010197, -14.5115, -1.28183, -256.828, -9.38102, 0.63787, -149.341, 0.00112525, 0.00143882, -0.00403869, 0.000632522, 0.000632522, 0.000632522
2504, 1,0.00215642, -0.00112714, 0.000815894, 36.8336, -68.568, 0.00399266, -0.49353, 241.076, 0.00792418, 0.000982053, 0.00265799, 0.0042385, 45.3584, 107.687, 0, 0.000984198, 0.00165655, 0.00261397, 28.4213, 66.8199, 0, 0.00098485, -8.62188, -16.4899, -297.949, -6.70406, -15.1639, -178.592, 0.00151453, 0.00139095, -0.00465292, 0.000911536, 0.000911536, 0.000911536
2505, 1,0.00246001, -0.00108622, 0.000814747, 55.6512, -64.1873, 0.00458156, 18.5106, 216.452, 0.0302414, 0.00108292, 0.00298989, 0.0045048, 68.0232, 100.435, 0, 0.00108502, 0.00193764, 0.0029097, 43.7432, 66.4284, 0, 0.00108562, -10.3808, -26.0961, -264.83, -10.1187, -29.4466, -159.72, 0.0013624, 0.00109732, -0.00408941, 0.000832329, 0.000832329, 0.000832329
2506, 1,0.00159015, -0.000849294, 0.000618451, 21.1141, -51.545, 0.00379969, 42.9201, 183.436, 0, 0.00104954, 0.00197537, 0.00321194, 28.1884, 88.128, 0, 0.00105116, 0.00120628, 0.00197828, 14.1107, 57.8592, 0, 0.00105168, -16.5756, -6.27111, -241.537, -14.3196, -8.19136, -151.067, 0.00103806, 0.00129759, -0.00376567, 0.00060904, 0.00060904, 0.00060904
2507, 1,0.00152342, -0.000819129, 0.000596523, 20.8345, -49.7115, 0.00352949, 34.9451, 177.026, 0, 0.00101543, 0.00189662, 0.00307178, 27.6899, 83.5396, 0, 0.00101697, 0.00115063, 0.00187972, 14.0075, 54.2968, 0, 0.00101745, -14.2956, -8.32417, -227.999, -12.3118, -9.13466, -141.444, 0.00101447, 0.00117722, -0.00354727, 0.000595899, 0.000595899, 0.000595899
2508, 1,0.00202732, -0.000976011, 0.000731768, 40.2776, -57.5818, 0.00335244, 13.849, 193.487, 0, 0.000981094, 0.00250816, 0.00383785, 51.6839, 89.6165, 0, 0.000982749, 0.00155051, 0.00239181, 29.1252, 59.1631, 0, 0.000983235, -9.5241, -29.0978, -230.228, -9.70204, -29.5164, -138.271, 0.0012107, 0.000852801, -0.00351768, 0.000727354, 0.000727354, 0.000727354
2509, 1,0.0018688, -0.000899861, 0.000675519, 42.6082, -53.0383, 0.00290826, 4.99268, 177.742, 0, 0.00108241, 0.00231018, 0.0035013, 53.1712, 76.9467, 0, 0.00108418, 0.00143365, 0.00217566, 32.4407, 49.2402, 0, 0.00108467, -2.62089, -41.2486, -186.971, -3.81952, -36.4155, -107.485, 0.00115649, 0.000409449, -0.00281445, 0.000694709, 0.000694709, 0.000694709
